,fruit_label,rndm_fruit_id,rndm_def
125,mamey apple ,http://purl.obolibrary.org/obo/FOODON_00004200,A whole raw mamey apple (berry)
126,manchurian pear ,http://purl.obolibrary.org/obo/FOODON_00004152,A drupe fruit of a Manchurian pear tree (Pyrus ussuriensis).
127,mandarin orange ,http://purl.obolibrary.org/obo/FOODON_00003555,A hesperidium fruit of a mandarin orange tree (Citrus reticulata).
128,mango ,http://purl.obolibrary.org/obo/FOODON_00003538,A drupe fruit of a mango tree (Mangifera indica).
129,mangosteen ,http://purl.obolibrary.org/obo/FOODON_00003568,A fruit of a mangosteen plant (Garcinia mangostana).
130,md2 super sweet pineapple ,http://purl.obolibrary.org/obo/FOODON_00004238,A raw whole pineapple which is an MD2 variety.
131,melon ,http://purl.obolibrary.org/obo/FOODON_00003597,A pepo fruit of a melon plant.
132,miniature tomato ,http://purl.obolibrary.org/obo/FOODON_03311800,A berry fruit of a miniature tomato plant.
133,miracle berry ,http://purl.obolibrary.org/obo/FOODON_00003671,A berry fruit of a miracle fruit plant (Synsepalum dulcificum).
134,morello cherry ,http://purl.obolibrary.org/obo/FOODON_00004215,A whole raw Morello cherry.
135,mulberry ,http://purl.obolibrary.org/obo/FOODON_00003676,A fruit multiple from a mulberry tree (Morus <eudicots>).
136,musa balbisiana banana ,http://purl.obolibrary.org/obo/FOODON_00004181,A berry fruit from a Musa balbisiana tree.
137,muscadine grape ,http://purl.obolibrary.org/obo/FOODON_03304854,None
138,muskmelon ,http://purl.obolibrary.org/obo/FOODON_00003596,A pepo fruit of a muskmelon plant (Cucumis melo )
139,naranjilla ,http://purl.obolibrary.org/obo/FOODON_00003688,A berry fruit of a naranjilla plant (Solanum quitoense)
140,natal plum ,http://purl.obolibrary.org/obo/FOODON_00003680,A berry fruit of a natal plum plant (Carissa macrocarpa).
141,navel orange ,http://purl.obolibrary.org/obo/FOODON_00003579,A hesperidium fruit of a navel orange plant (Citrus sinensis)
142,nectarine ,http://purl.obolibrary.org/obo/FOODON_00003585,A drupe fruit of a nectarine tree (Prunus persica var. nectarina).
143,oheloberry ,http://purl.obolibrary.org/obo/FOODON_00002872,"The oheloberry is an edible berry 8–14 mm (0.31–0.55 in) diameter, ranging in color from blue to purple to red to orange to yellow, harvested from the oheloberry plant."
144,okra ,http://purl.obolibrary.org/obo/FOODON_03301828,None
145,okra pod ,http://purl.obolibrary.org/obo/FOODON_00003681,A pod of an okra plant (Abelmoschus esculentus)
146,olallieberry ,http://purl.obolibrary.org/obo/FOODON_00003749,A berry fruit of an olallieberry plant (Blackberry 'Black Logan' × youngberry)
147,olive ,http://purl.obolibrary.org/obo/FOODON_03317509,A drupe fruit of an olive tree (Olea europaea).
148,orange ,http://purl.obolibrary.org/obo/FOODON_03309832,The orange is the fruit of the citrus species Citrus × sinensis in the family Rutaceae.
149,orange bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003016,None
150,orange tomato ,http://purl.obolibrary.org/obo/FOODON_03000144,A berry fruit of an orange tomato plant.
151,otaheite gooseberry ,http://purl.obolibrary.org/obo/FOODON_00003721,A berry fruit of a otaheite gooseberry plant (Phyllanthus acidus)
152,papaya ,http://purl.obolibrary.org/obo/FOODON_00003540,A pepo fruit of a papaya tree (Carica papaya).
153,passion fruit ,http://purl.obolibrary.org/obo/FOODON_00003675,A pepo fruit of a passion fruit plant (Passiflora edulis).
154,pattypan squash ,http://purl.obolibrary.org/obo/FOODON_00003707,"A pepo fruit of a pattypan squash plant, a varietal of summer squash."
155,pawpaw ,http://purl.obolibrary.org/obo/FOODON_00003710,A berry fruit of a pawpaw plant (Asimina triloba)
156,peach ,http://purl.obolibrary.org/obo/FOODON_03301719,A drupe fruit of a peach tree (Prunus persica)
157,pear ,http://purl.obolibrary.org/obo/FOODON_00003041,A pome fruit of a pear tree.
158,pear tomato ,http://purl.obolibrary.org/obo/FOODON_00003313,"A group of indeterminate heirloom tomatoes in the shape of a pear, but smaller, and having yellow, orange, and red varieties."
159,pecan ,http://purl.obolibrary.org/obo/FOODON_00003699,A drupe fruit of a pecan plant (Carya illinoinensis)
160,pepper ,http://purl.obolibrary.org/obo/FOODON_00003520,A berry fruit of a pepper plant (Capsicum)
161,persimmon ,http://purl.obolibrary.org/obo/FOODON_00003723,A berry fruit of a persimmon plant (genus Diospyros).
162,pili nut ,http://purl.obolibrary.org/obo/FOODON_00003722,A drupe fruit from a pili tree (Canarium ovatum)
163,pimiento ,http://purl.obolibrary.org/obo/FOODON_00003484,A berry fruit of a pimiento pepper plant.
164,pineapple ,http://purl.obolibrary.org/obo/FOODON_00003459,A fruit multiple from a pineapple tree (Ananas comosus).
165,pink apple ,http://purl.obolibrary.org/obo/FOODON_00004186,A whole Pink apple which is raw.
166,pink grapefruit ,http://purl.obolibrary.org/obo/FOODON_03311296,None
167,pink peppercorn ,http://purl.obolibrary.org/obo/FOODON_00003810,A berry fruit from a pink peppercorn tree (Schinus molle).
168,pistachio nut ,http://purl.obolibrary.org/obo/FOODON_00003691,A drupe fruit of a pistachio plant (Pistacia vera).
169,plantain ,http://purl.obolibrary.org/obo/FOODON_00003784,A berry fruit of a plantain plant (Musa ABB Group)
170,plum ,http://purl.obolibrary.org/obo/FOODON_03301580,A plum is the fruit of a plum plant.
171,plum tomato ,http://purl.obolibrary.org/obo/FOODON_00003756,A berry fruit of a plum tomato plant.
172,pomegranate ,http://purl.obolibrary.org/obo/FOODON_00003679,A berry fruit of a pomegranate plant (Punica granatum).
173,pomelo fruit ,http://purl.obolibrary.org/obo/FOODON_00003027,A whole citrus fruit of a pomelo tree (Citrus maxima).
174,prickly pear pad ,http://purl.obolibrary.org/obo/FOODON_00004238,A raw whole pineapple which is an MD2 variety.
175,prune ,http://purl.obolibrary.org/obo/FOODON_03301721,A whole plum which is partially or fully dried.
176,pumpkin ,http://purl.obolibrary.org/obo/FOODON_00003486,An orange-yellow pepo fruit of a pumpkin plant.
177,purple plum ,http://purl.obolibrary.org/obo/FOODON_03311302,A drupe fruit of a purple plum plant.
178,pyracantha berry ,http://purl.obolibrary.org/obo/FOODON_00003696,A pome fruit of a pyracantha berry plant (Pyracantha)
179,quince ,http://purl.obolibrary.org/obo/FOODON_00003724,A pome fruit of a quince plant (Cydonia oblonga)
180,raisin ,http://purl.obolibrary.org/obo/FOODON_03301283,None
181,rambutan ,http://purl.obolibrary.org/obo/FOODON_00003720,A drupe fruit of a rambutan plant (Nephelium lappaceum)
182,raspberry ,http://purl.obolibrary.org/obo/FOODON_00003433,An aggregate fruit of a raspberry plant.
183,red abyssinian banana ,http://purl.obolibrary.org/obo/FOODON_00002795,None
184,red abyssinian banana corm ,http://purl.obolibrary.org/obo/FOODON_00003771,A corm of a red Abyssinian banana plant (Ensete ventricosum)
185,red anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004232,A whole raw red D'Anjou pear.
186,red banana ,http://purl.obolibrary.org/obo/FOODON_00002794,None
187,red currant ,http://purl.obolibrary.org/obo/FOODON_00003766,A berry fruit of a red currant plant (Ribes rubrum).
188,red d'anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004232,A whole raw red D'Anjou pear.
189,red delicious apple ,http://purl.obolibrary.org/obo/FOODON_00004201,A raw Red Delicious apple.
190,red grape ,http://purl.obolibrary.org/obo/FOODON_00003778,A berry fruit of a red grape plant.
191,red grapefruit ,http://purl.obolibrary.org/obo/FOODON_03305561,None
192,red pear tomato ,http://purl.obolibrary.org/obo/FOODON_00003831,A red colored pear shaped heirloom varietal of a tomato plant.
193,red plum ,http://purl.obolibrary.org/obo/FOODON_03310147,A drupe fruit of a red plum plant.
194,red raspberry ,http://purl.obolibrary.org/obo/FOODON_00003729,An aggregate fruit of a red raspberry plant (Rubus idaeus)
195,ribier grape ,http://purl.obolibrary.org/obo/FOODON_00003776,A berry fruit of a ribier grape plant.
196,ridge gourd ,http://purl.obolibrary.org/obo/FOODON_00003713,A pepo fruit of a ridge gourd plant.
197,river tamarind pod ,http://purl.obolibrary.org/obo/FOODON_00003902,A pod of a river tamarind plant (Leucaena leucocephala).
198,rose hip ,http://purl.obolibrary.org/obo/FOODON_00003746,An aggregate fruit of a rose plant.
199,rowal fruit ,http://purl.obolibrary.org/obo/FOODON_00004246,A fruit of a rowal tree (Pangium edule).
200,saba banana ,http://purl.obolibrary.org/obo/FOODON_00004180,A berry fruit from a Saba banana tree (Musa acuminata × balbisiana (ABB Group) 'Saba').
201,sacred pear ,http://purl.obolibrary.org/obo/FOODON_00003687,A berry fruit of a sacred pear plant(Crateva religiosa)
202,sair date ,http://purl.obolibrary.org/obo/FOODON_00003764,A drupe fruit of a sair date plant cultivar.
203,salmonberry ,http://purl.obolibrary.org/obo/FOODON_00003689,An aggregate fruit of a salmonberry plant (Rubus spectabilis).
204,sapodilla fruit ,http://purl.obolibrary.org/obo/FOODON_00004250,A whole sapodilla fruit.
205,seeded raisin ,http://purl.obolibrary.org/obo/FOODON_03315829,None
206,seedless golden raisin ,http://purl.obolibrary.org/obo/FOODON_00004264,None
207,seedless raisin ,http://purl.obolibrary.org/obo/FOODON_03311488,None
208,seedless white grape ,http://purl.obolibrary.org/obo/FOODON_00003772,A berry fruit of a seedless white grape plant.
209,serrano pepper,http://purl.obolibrary.org/obo/FOODON_03000128,A berry fruit of a serrano pepper plant.
210,seville orange ,http://purl.obolibrary.org/obo/FOODON_03306372,A hesperidium fruit of a seville prange plant (Citrus aurantium)
211,shea fruit ,http://purl.obolibrary.org/obo/FOODON_00003692,A fruit of a shea tree (Vitellaria paradoxa).
212,sour cherry ,http://purl.obolibrary.org/obo/FOODON_00004218,A whole raw sour cherry.
213,soursop ,http://purl.obolibrary.org/obo/FOODON_00002937,An aggregate fruit of a soursop plant (Annona muricata)
214,spaghetti squash ,http://purl.obolibrary.org/obo/FOODON_03000077,A group of cultivar of Cucurbita pepo subsp. pepo.
215,sponge gourd ,http://purl.obolibrary.org/obo/FOODON_03000109,A pepo fruit of a sponge gourd plant (Luffa aegyptiaca).
216,squash ,http://purl.obolibrary.org/obo/FOODON_00003539,A pepo fruit varietal of a squash plant (Cucurbita).
217,squashberry ,http://purl.obolibrary.org/obo/FOODON_00003719,A berry fruit of a squashberry plant (Viburnum edule)
218,star apple ,http://purl.obolibrary.org/obo/FOODON_00003569,A fruit of a star apple tree (Chrysophyllum cainito).
219,star fruit ,http://purl.obolibrary.org/obo/FOODON_00003101,A berry fruit from a star fruit plant (Averrhoa carambola)
220,straightneck squash ,http://purl.obolibrary.org/obo/FOODON_03000079,A cultivated varietal of Cucurbita pepo.
221,strawberry ,http://purl.obolibrary.org/obo/FOODON_00003443,An aggregate fruit of strawberry plant  (Fragaria x ananassa).
222,strawberry guava ,http://purl.obolibrary.org/obo/FOODON_00004224,A whole fruit of a strawberry guava tree (Psidium cattleyanum).
223,sultana raisin ,http://purl.obolibrary.org/obo/FOODON_03305819,None
224,sumac fruit ,http://purl.obolibrary.org/obo/FOODON_00003733,A drupe fruit of a sumac fruit.
225,summer squash ,http://purl.obolibrary.org/obo/FOODON_00003708,A pepo fruit of a summer squash plant.
226,sweet cherry ,http://purl.obolibrary.org/obo/FOODON_03311457,A drupe fruit of a sweet cherry plant (Prunus avium).
227,sweet green bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003547,An immature green colored berry fruit of a bell pepper plant cultivar.
228,sweet green pepper ,http://purl.obolibrary.org/obo/FOODON_03306726,None
229,sweet orange bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003550,A mature orange colored berry fruit of a bell pepper plant cultivar.
230,sweet red bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003485,A ripened red colored berry fruit of a bell pepper plant cultivar.
231,sweet yellow bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003548,A mature yellow colored berry fruit of a bell pepper plant cultivar.
232,tamarillo ,http://purl.obolibrary.org/obo/FOODON_00003730,A berry fruit of a tamarillo plant (Solanum betaceum)
233,tangelo ,http://purl.obolibrary.org/obo/FOODON_00003731,A hesperidium fruit of a tangelo plant (Citrus x tangelo)
234,tangerine ,http://purl.obolibrary.org/obo/FOODON_00003488,A hesperidium fruit of a tangerine tree (Citrus tangerina).
235,tango apple ,http://purl.obolibrary.org/obo/FOODON_00002973,An apple harvested from a Tango apple tree cultivar.
236,tinda ,http://purl.obolibrary.org/obo/FOODON_03000161,An immature fruit of a tinda plant (Praecitrullus fistulosus).
237,tomatillo ,http://purl.obolibrary.org/obo/FOODON_00003745,A berry fruit of a tomatillo plant (Physalis philadelphica)
238,tomato ,http://purl.obolibrary.org/obo/FOODON_03309927,"A berry fruit of a tomato plant, grown under controlled greenhouse conditions."
239,tropical fruit ,http://purl.obolibrary.org/obo/FOODON_00003567,A fruit of a tropical or subtropical fruit producing plant.
240,walnut ,http://purl.obolibrary.org/obo/FOODON_03301364,A drupe fruit from a walnut tree (Juglans).
241,watermelon ,http://purl.obolibrary.org/obo/FOODON_00003673,A pepo fruit of a watermelon plant (Citrullus lanatus subsp. vulgaris).
242,white grape ,http://purl.obolibrary.org/obo/FOODON_00003777,A berry fruit of a white grape plant.
